seq	source_file	headword	source_page	pdf_page	ocr_file
1003	1001-1250.md	接连	275	332	275.txt
1036	1001-1250.md	劲头	284	341	284.txt
1037	1001-1250.md	晋升	284	341	284.txt
1050	1001-1250.md	精密	287	344	287.txt
1053	1001-1250.md	精心	288	345	288.txt
1054	1001-1250.md	精益求精	288	345	288.txt
1055	1001-1250.md	精致	289	346	289.txt
1056	1001-1250.md	井	289	346	289.txt
1057	1001-1250.md	颈椎	289	346	289.txt
1058	1001-1250.md	警告	289	346	289.txt
1059	1001-1250.md	警惕	290	347	290.txt
1060	1001-1250.md	竞赛	290	347	290.txt
1064	1001-1250.md	境界	291	348	291.txt
1072	1001-1250.md	就职	293	350	293.txt
1074	1001-1250.md	拘束	293	350	293.txt
1075	1001-1250.md	居民	294	351	294.txt
1077	1001-1250.md	鞠躬	294	351	294.txt
1080	1001-1250.md	局势	295	352	295.txt
1081	1001-1250.md	局限	295	352	295.txt
1086	1001-1250.md	举世瞩目	297	354	297.txt
1087	1001-1250.md	举足轻重	297	354	297.txt
1090	1001-1250.md	据悉	298	355	298.txt
1091	1001-1250.md	聚精会神	298	355	298.txt
1092	1001-1250.md	卷	298	355	298.txt
1093	1001-1250.md	决策	298	355	298.txt
1096	1001-1250.md	绝望	299	356	299.txt
1097	1001-1250.md	倔强	300	357	300.txt
1098	1001-1250.md	军队	300	357	300.txt
1099	1001-1250.md	君子	300	357	300.txt
1100	1001-1250.md	卡通	301	358	301.txt
1101	1001-1250.md	开采	301	358	301.txt
1102	1001-1250.md	开除	301	358	301.txt
1103	1001-1250.md	开阔	301	358	301.txt
1104	1001-1250.md	开朗	302	359	302.txt
1105	1001-1250.md	开明	302	359	302.txt
1106	1001-1250.md	开辟	302	359	302.txt
1107	1001-1250.md	开水	303	360	303.txt
1111	1001-1250.md	刊登	304	361	304.txt
1113	1001-1250.md	勘探	304	361	304.txt
1115	1001-1250.md	砍伐	305	362	305.txt
1124	1001-1250.md	考验	307	364	307.txt
1125	1001-1250.md	靠拢	308	365	308.txt
1128	1001-1250.md	磕	309	366	309.txt
1129	1001-1250.md	可观	309	366	309.txt
1131	1001-1250.md	可恶	309	366	309.txt
1152	1001-1250.md	口气	315	372	315.txt
1163	1001-1250.md	跨	319	376	319.txt
1164	1001-1250.md	快活	320	377	320.txt
1165	1001-1250.md	宽敞	320	377	320.txt
1170	1001-1250.md	况且	321	378	321.txt
1180	1001-1250.md	喇叭	325	382	325.txt
1181	1001-1250.md	蜡烛	325	382	325.txt
1195	1001-1250.md	乐意	329	386	329.txt
1196	1001-1250.md	雷达	329	386	329.txt
1197	1001-1250.md	类似	329	386	329.txt
1206	1001-1250.md	里程碑	332	389	332.txt
1207	1001-1250.md	理睬	332	389	332.txt
1208	1001-1250.md	理所当然	332	389	332.txt
1212	1001-1250.md	力求	333	390	333.txt
1229	1001-1250.md	联络	338	395	338.txt
1239	1001-1250.md	邻舍	341	398	341.txt
1257	1251-1500.md	流露	346	403	346.txt
1259	1251-1500.md	流通	346	403	346.txt
1262	1251-1500.md	垄断	347	404	347.txt
1265	1251-1500.md	炉灶	348	405	348.txt
1273	1251-1500.md	论坛	350	407	350.txt
1277	1251-1500.md	络绎不绝	351	408	351.txt
1288	1251-1500.md	迈	355	412	355.txt
1289	1251-1500.md	脉搏	356	413	356.txt
1296	1251-1500.md	茫茫	357	414	357.txt
1302	1251-1500.md	魅力	359	416	359.txt
1309	1251-1500.md	萌芽	361	418	361.txt
1310	1251-1500.md	蒙	361	418	361.txt
1313	1251-1500.md	咪	362	419	362.txt
1354	1251-1500.md	魔术	374	431	374.txt
1360	1251-1500.md	模样	376	433	376.txt
1365	1251-1500.md	拿手	378	435	378.txt
1373	1251-1500.md	恼火	380	437	380.txt
1378	1251-1500.md	嗯	381	438	381.txt
1382	1251-1500.md	捏	382	439	382.txt
1389	1251-1500.md	扭转	384	441	384.txt
1390	1251-1500.md	纽扣儿	384	441	384.txt
1391	1251-1500.md	农历	385	442	385.txt
1394	1251-1500.md	挪	386	443	386.txt
1535	1501-1750.md	悄	426	483	426.txt
1597	1501-1750.md	嚷	444	501	444.txt
1631	1501-1750.md	揉	454	511	454.txt
1632	1501-1750.md	儒家	454	511	454.txt
1633	1501-1750.md	若干	455	512	455.txt
1634	1501-1750.md	弱点	455	512	455.txt
1635	1501-1750.md	撒谎	456	513	456.txt
1636	1501-1750.md	腮	456	513	456.txt
1754	1751-2000.md	视线	488	545	488.txt
1755	1751-2000.md	视野	488	545	488.txt
1760	1751-2000.md	收藏	489	546	489.txt
1780	1751-2000.md	束	495	552	495.txt
1976	1751-2000.md	维生素	548	605	548.txt
1980	1751-2000.md	委员	549	606	549.txt
1999	1751-2000.md	乌鸦	554	611	554.txt
2008	2001-2250.md	无可奈何	557	614	557.txt
2009	2001-2250.md	无力	558	615	558.txt
2015	2001-2250.md	无知	559	616	559.txt
2027	2001-2250.md	物证	562	619	562.txt
2038	2001-2250.md	喜闻乐见	566	623	566.txt
2052	2001-2250.md	纤维	570	627	570.txt
2100	2001-2250.md	协议	584	641	584.txt
2101	2001-2250.md	协助	584	641	584.txt
2102	2001-2250.md	携带	584	641	584.txt
2103	2001-2250.md	写作	584	641	584.txt
2106	2001-2250.md	屑	585	642	585.txt
2116	2001-2250.md	欣慰	588	645	588.txt
2119	2001-2250.md	新郎	589	646	589.txt
2122	2001-2250.md	薪水	590	647	590.txt
2130	2001-2250.md	行政	592	649	592.txt
2131	2001-2250.md	形态	592	649	592.txt
2132	2001-2250.md	兴高采烈	593	650	593.txt
2133	2001-2250.md	兴致勃勃	593	650	593.txt
2144	2001-2250.md	雄厚	596	653	596.txt
2148	2001-2250.md	修建	597	654	597.txt
2149	2001-2250.md	修理	597	654	597.txt
2150	2001-2250.md	修养	598	655	598.txt
2151	2001-2250.md	羞耻	598	655	598.txt
2152	2001-2250.md	绣	598	655	598.txt
2266	2251-2500.md	乙	631	688	631.txt
2281	2251-2500.md	翌	635	692	635.txt
2282	2251-2500.md	阴谋	635	692	635.txt
