insert_before_old_seq	headword	pinyin	page
0251	倡导	chàngdǎo	68
0251	倡议	chàngyì	69
0251	钞票	chāopiào	69
0251	超级	chāojí	69
0251	超越	chāoyuè	70
0251	巢穴	cháoxué	70
0251	朝代	cháodài	70
0251	嘲笑	cháoxiào	70
0251	潮流	cháoliú	71
0251	潮湿	cháoshī	71
0251	撤退	chètuì	71
0251	撤销	chèxiāo	71
0251	沉淀	chéndiàn	72
0251	沉闷	chénmèn	72
0279	吃力	chīlì	80
0279	池塘	chítáng	80
0279	迟钝	chídùn	80
0279	迟缓	chíhuǎn	81
0279	迟疑	chíyí	81
0279	持久	chíjiǔ	81
0279	赤道	chìdào	81
0279	赤字	chìzì	81
0279	充当	chōngdāng	82
0279	充沛	chōngpèi	82
0279	充实	chōngshí	82
0279	充足	chōngzú	83
0279	冲动	chōngdòng	83
0279	冲击	chōngjī	83
0279	冲突	chōngtū	84
0279	重叠	chóngdié	84
0279	重阳节	Chóngyáng Jié	84
0279	崇拜	chóngbài	84
0279	崇高	chónggāo	84
0279	崇敬	chóngjìng	85
0279	抽空	chōu//kòng	85
0279	稠密	chóumì	85
0279	筹备	chóubèi	85
0279	踌躇	chóuchú	86
0279	丑恶	chǒu'è	86
0279	出路	chūlù	86
0279	出卖	chūmài	86
0279	出身	chūshēn	87
0279	出神	chū//shén	87
0279	出息	chūxi	87
0279	出洋相	chūyángxiàng	88
0279	初步	chūbù	88
0279	除	chú	88
0279	处分	chǔfèn	89
0279	处境	chǔjìng	89
0279	处置	chǔzhì	89
0279	储备	chǔbèi	89
0279	储存	chǔcún	90
0279	储蓄	chǔxù	90
0279	触犯	chùfàn	90
0279	川流不息	chuānliú-bùxī	91
0279	穿越	chuānyuè	91
0279	传达	chuándá	91
0279	传单	chuándān	91
0279	传授	chuánshòu	92
0279	船舶	chuánbó	92
0279	喘气	chuǎn//qì	92
0279	串	chuàn	92
0279	床单	chuángdān	93
0279	创立	chuànglì	93
0279	创新	chuàngxīn	93
0279	创业	chuàngyè	94
0279	创作	chuàngzuò	94
0279	吹牛	chuī//niú	94
0279	吹捧	chuīpěng	95
0279	炊烟	chuīyān	95
1526	染	rǎn	444
1526	嚷	rǎng	444
1526	让步	ràng//bù	444
1526	饶恕	ráoshù	445
1526	扰乱	rǎoluàn	445
1526	惹祸	rě//huò	445
1526	热泪盈眶	rèlèi-yíngkuàng	445
